trade_id,person,doc_id,txn_num,owner,asset_name,action,transaction_date,disclosure_date,amount_min,amount_max,asset_class,ticker,source_doc,entry_price,disclosure_price,reveal_lag_days,return_to_disclosure,return_post_disclosure_1d,return_post_disclosure_5d,return_post_disclosure_20d,fifo_holding_days
7443a3a81e83,Nancy Pelosi,pelosi_ptr_20033725,6,SP,Apple Inc. - Common Stock (AAPL),sale,2025-12-24,2026-01-23,5000001.0,25000000.0,equity,AAPL,pelosi_ptr_20033725.pdf,273.3022155761719,247.58001708984375,30,0.09411631893324007,-0.029713035188522887,-0.04612174833982562,-0.07413744520629502,1013.0
240f401c83f3,Nancy Pelosi,pelosi_ptr_20033725,13,,PYPL,purchase,2026-01-16,2026-01-23,,,equity,PYPL,pelosi_ptr_20033725.pdf,56.7182731628418,56.44908905029297,7,-0.00474598568570632,-0.00035322842127101414,-0.06941009434516911,-0.22200639419805254,
f4b7b4d69c52,Nancy Pelosi,pelosi_ptr_20033725,5,,Alphabet Inc. - Class A Common,purchase,2025-12-30,2026-01-23,500001.0,1000000.0,equity,GOOGL,pelosi_ptr_20033725.pdf,313.6292419433594,327.6993103027344,24,0.044862106199638166,0.016253508201814277,0.030707807217529512,-0.050132654426767016,
22b1a53b67c9,Nancy Pelosi,pelosi_ptr_20033725,1,SP,Alphabet Inc. - Class A Common,purchase,2026-01-16,2026-01-23,500001.0,1000000.0,equity,GOOGL,pelosi_ptr_20033725.pdf,329.7678527832031,327.6993103027344,7,-0.00627272325974314,0.016253508201814277,0.030707807217529512,-0.050132654426767016,
c69f9ff4cbd2,Nancy Pelosi,pelosi_ptr_20033725,15,SP,Walt Disney Company (DIS) [ST],sale,2025-12-30,2026-01-23,1000001.0,5000000.0,equity,DIS,pelosi_ptr_20033725.pdf,114.79000091552734,110.9800033569336,24,0.03319102298289451,-0.002973456403662467,-0.016399347988580795,0.0591998512893697,
f08179192b4d,Nancy Pelosi,pelosi_ptr_20033725,12,,NVIDIA Corporation - Common Stock,sale,2025-12-30,2026-01-23,1000001.0,5000000.0,equity,NVDA,pelosi_ptr_20033725.pdf,187.52984619140625,187.6598358154297,24,-0.0006931676565807071,0.006394126101000327,-0.01843667609195449,-0.02067467714493057,375.0
d038f9ef30da,Nancy Pelosi,pelosi_ptr_20033725,8,SP,NVIDIA Corporation - Common Stock,sale,2025-12-24,2026-01-23,1000001.0,5000000.0,equity,NVDA,pelosi_ptr_20033725.pdf,188.59979248046875,187.6598358154297,30,0.004983869031226022,0.006394126101000327,-0.01843667609195449,-0.02067467714493057,516.0
84d900dd3d1a,Nancy Pelosi,pelosi_ptr_20033725,3,SP,"Amazon.com, Inc. - Common Stock",sale,2025-12-24,2026-01-23,1000001.0,5000000.0,equity,AMZN,pelosi_ptr_20033725.pdf,232.3800048828125,239.16000366210938,30,-0.029176343217291772,0.0030941858246898127,-0.000585379609904304,0.14170429365576107,344.0
f3c03701a055,Nancy Pelosi,pelosi_ptr_20033725,2,SP,Alphabet Inc. - Class A Common,sale,2025-12-30,2026-01-23,1000001.0,5000000.0,equity,GOOGL,pelosi_ptr_20033725.pdf,313.6292419433594,327.6993103027344,24,-0.044862106199638166,-0.016253508201814277,-0.030707807217529512,0.050132654426767016,350.0
4cdc86b134e6,Nancy Pelosi,pelosi_ptr_20033725,7,SP,Apple Inc. - Common Stock (AAPL),sale,2025-12-30,2026-01-23,5000001.0,25000000.0,equity,AAPL,pelosi_ptr_20033725.pdf,272.57354736328125,247.58001708984375,24,0.0916946289000178,-0.029713035188522887,-0.04612174833982562,-0.07413744520629502,929.0
57aa76e965ea,Nancy Pelosi,pelosi_ptr_20033725,9,SP,"PayPal Holdings, Inc. - Common",sale,2025-12-30,2026-01-23,250001.0,500000.0,equity,PYPL,pelosi_ptr_20033725.pdf,58.921600341796875,56.44908905029297,24,0.041962731445873425,0.00035322842127101414,0.06941009434516911,0.22200639419805254,
dcf0955bd178,Nancy Pelosi,pelosi_ptr_20033725,17,,VSNT,purchase,2026-01-16,2026-01-23,,,equity,VSNT,pelosi_ptr_20033725.pdf,32.705318450927734,31.299701690673828,7,-0.04297823188491332,0.046489537087559346,0.030360526452740143,-0.06388362551795977,
